datetime,U,V,W,T,Ufluc,Vfluc,Wfluc,Tfluc,Ubar,Winddir,Cdrag,U*,T*,tau,reystr,H,LE,L,corr(w/u),Hz
06-02-2018 16:40:00,-0.006,-0.026,0.002,17.197,0.001,0.002,0.002,27.568,0.027,226.1,0.441427,0.018,1.147,0.000,0.0003,-25.073,-888.880,0.019948,0.00000,20.87
06-02-2018 16:50:00,-0.008,-0.027,0.013,17.499,0.001,0.002,0.002,0.032,0.031,222.9,0.300791,0.017,-0.077,0.000,0.0003,1.602,-888.880,-0.274165,0.00000,20.83
06-02-2018 17:00:00,-0.007,-0.031,0.011,16.759,0.001,0.002,0.002,0.045,0.034,227.3,0.180547,0.014,-0.197,0.000,0.0002,3.492,-888.880,-0.075680,0.00000,20.83
06-02-2018 17:10:00,-0.008,-0.031,0.007,17.176,0.001,0.002,0.001,0.031,0.033,224.9,0.223662,0.016,-0.097,0.000,0.0002,1.855,-888.880,-0.179254,0.00000,20.83
06-02-2018 17:20:00,-0.007,-0.022,0.005,16.992,0.001,0.001,0.001,0.021,0.024,222.8,0.076973,0.007,-0.064,0.000,-0.0000,0.517,-888.880,-0.048113,0.00000,20.83
06-02-2018 17:30:00,-0.012,-0.026,0.001,17.000,0.001,0.001,0.001,0.024,0.028,214.8,0.126023,0.010,-0.094,0.000,0.0001,1.167,-888.880,-0.078507,0.00000,20.83
06-02-2018 17:40:00,-0.013,-0.016,-0.011,16.757,0.001,0.001,0.001,0.023,0.023,200.9,0.498724,0.016,-0.020,0.000,-0.0003,0.393,-888.880,-0.959905,0.00000,20.83
06-02-2018 17:50:00,0.003,-0.023,-0.008,16.777,0.001,0.001,0.001,0.018,0.024,247.1,0.045777,0.005,-0.095,0.000,0.0000,0.607,-888.880,-0.020533,0.00000,20.83
06-02-2018 18:00:00,-0.008,-0.020,-0.004,16.905,0.001,0.002,0.001,0.025,0.022,217.8,0.422164,0.014,-0.163,0.000,-0.0002,2.845,-888.880,-0.089450,0.00000,20.83
06-02-2018 18:10:00,-0.009,-0.015,-0.005,16.965,0.001,0.001,0.001,0.026,0.018,209.4,0.923075,0.017,-0.092,0.000,-0.0003,1.949,-888.880,-0.234935,0.00000,20.83
06-02-2018 18:20:00,-0.004,-0.018,-0.006,16.874,0.001,0.001,0.001,0.022,0.019,227.8,0.188332,0.008,-0.088,0.000,-0.0001,0.897,-888.880,-0.056149,0.00000,20.83
06-02-2018 18:30:00,-0.015,-0.016,-0.008,16.699,0.001,0.001,0.001,0.022,0.023,196.3,0.401245,0.015,-0.026,0.000,-0.0002,0.465,-888.880,-0.614949,0.00000,20.83
06-02-2018 18:40:00,-0.003,-0.029,-0.005,16.758,0.001,0.001,0.001,0.018,0.030,233.6,0.125744,0.011,-0.062,0.000,-0.0001,0.800,-888.880,-0.128519,0.00000,20.83
06-02-2018 18:50:00,-0.007,-0.028,-0.004,16.859,0.001,0.001,0.001,0.021,0.029,225.0,0.058056,0.007,-0.075,0.000,-0.0000,0.641,-888.880,-0.046109,0.00000,20.83
06-02-2018 19:00:00,-0.006,-0.027,-0.003,17.023,0.001,0.001,0.001,0.028,0.028,228.2,0.096623,0.009,-0.145,0.000,0.0001,1.528,-888.880,-0.036713,0.00000,20.83
06-02-2018 19:10:00,0.004,-0.032,-0.002,16.822,0.001,0.001,0.001,0.023,0.032,247.3,0.043232,0.007,-0.100,0.000,-0.0000,0.823,-888.880,-0.032352,0.00000,20.83
06-02-2018 19:20:00,-0.011,-0.023,-0.008,16.837,0.001,0.002,0.001,0.021,0.026,215.2,0.176110,0.011,-0.046,0.000,-0.0001,0.631,-888.880,-0.192563,0.00000,20.83
06-02-2018 19:30:00,-0.003,-0.028,-0.003,16.816,0.001,0.002,0.001,0.019,0.028,234.8,0.073180,0.008,-0.059,0.000,-0.0001,0.553,-888.880,-0.071483,0.00000,20.83
06-02-2018 19:40:00,-0.003,-0.035,-0.013,16.896,0.001,0.001,0.001,0.020,0.037,235.8,0.074361,0.010,-0.057,0.000,0.0001,0.708,-888.880,-0.132647,0.00000,20.83
06-02-2018 19:50:00,-0.008,-0.034,-0.008,16.954,0.001,0.001,0.001,0.020,0.036,226.1,0.097814,0.011,-0.004,0.000,-0.0001,0.051,-888.880,-2.473982,0.00000,20.83
06-02-2018 20:00:00,-0.012,-0.026,-0.006,16.885,0.001,0.001,0.001,0.022,0.029,214.5,0.199303,0.013,-0.038,0.000,-0.0002,0.615,-888.880,-0.320397,0.00000,20.83
06-02-2018 20:10:00,-0.012,-0.028,-0.009,16.844,0.001,0.001,0.001,0.018,0.031,217.3,0.067977,0.008,-0.013,0.000,-0.0001,0.130,-888.880,-0.369179,0.00000,20.83
06-02-2018 20:20:00,-0.010,-0.031,-0.007,16.996,0.001,0.001,0.001,0.023,0.033,222.8,0.001203,0.001,-0.482,0.000,0.0000,0.676,-888.880,-0.000196,0.00000,20.83
06-02-2018 20:30:00,-0.009,-0.021,-0.003,16.788,0.001,0.001,0.001,0.022,0.023,216.8,0.506550,0.016,-0.027,0.000,-0.0003,0.535,-888.880,-0.719692,0.00000,20.83
06-02-2018 20:40:00,-0.013,-0.027,-0.004,16.720,0.001,0.001,0.001,0.024,0.031,213.7,0.207220,0.014,-0.052,0.000,-0.0002,0.890,-888.880,-0.268267,0.00000,20.83
06-02-2018 20:50:00,-0.023,-0.016,-0.006,16.736,0.001,0.001,0.001,0.024,0.028,184.8,0.196675,0.013,-0.061,0.000,-0.0002,0.943,-888.880,-0.184261,0.00000,20.83
06-02-2018 21:00:00,-0.020,-0.027,-0.015,16.687,0.001,0.001,0.001,0.017,0.037,204.3,0.056349,0.009,-0.018,0.000,-0.0001,0.195,-888.880,-0.306572,0.00000,20.83
06-02-2018 21:10:00,-0.024,-0.019,-0.013,16.771,0.001,0.001,0.001,0.019,0.033,188.7,0.036629,0.006,0.145,0.000,-0.0000,-1.125,-888.880,0.019996,0.00000,20.83
06-02-2018 21:20:00,-0.025,-0.013,-0.016,16.707,0.001,0.001,0.001,0.021,0.033,177.3,0.104733,0.011,0.046,0.000,0.0001,-0.592,-888.880,0.176420,0.00000,20.84
06-02-2018 21:30:00,-0.019,-0.022,-0.006,16.812,0.001,0.001,0.001,0.019,0.029,198.8,0.230693,0.014,0.010,0.000,-0.0002,-0.171,-888.880,1.465073,0.00000,20.83
06-02-2018 21:40:00,-0.019,-0.016,-0.008,16.767,0.001,0.001,0.001,0.021,0.027,190.2,0.221481,0.012,0.006,0.000,-0.0002,-0.095,-888.880,1.809428,0.00000,20.83
06-02-2018 21:50:00,-0.026,-0.024,-0.017,16.805,0.001,0.001,0.001,0.022,0.039,193.3,0.079949,0.011,0.006,0.000,-0.0001,-0.077,-888.880,1.563359,0.00000,20.83
06-02-2018 22:00:00,-0.022,-0.020,-0.012,16.826,0.001,0.001,0.001,0.026,0.032,191.2,0.171838,0.013,-0.005,0.000,-0.0002,0.087,-888.880,-2.434933,0.00000,20.83
06-02-2018 22:10:00,-0.019,-0.020,-0.015,16.712,0.001,0.001,0.001,0.022,0.032,196.7,0.137837,0.012,0.005,0.000,-0.0001,-0.071,-888.880,2.066082,0.00000,20.83
06-02-2018 22:20:00,-0.018,-0.026,-0.014,16.890,0.001,0.001,0.001,0.023,0.034,205.3,0.003728,0.002,0.178,0.000,-0.0000,-0.457,-888.880,0.001767,0.00000,20.83
06-02-2018 22:30:00,-0.025,-0.024,-0.013,16.896,0.001,0.001,0.001,0.022,0.037,193.7,0.018619,0.005,0.059,0.000,-0.0000,-0.368,-888.880,0.031776,0.00000,20.83
06-02-2018 22:40:00,-0.009,-0.026,-0.011,16.750,0.001,0.001,0.001,0.033,0.029,221.5,0.073881,0.008,0.006,0.000,-0.0001,-0.062,-888.880,0.723521,0.00000,20.83
06-02-2018 22:50:00,-0.015,-0.022,0.003,16.442,0.001,0.002,0.001,0.038,0.027,206.1,0.337042,0.015,-0.119,0.000,-0.0002,2.276,-888.880,-0.144809,0.00000,20.83
06-02-2018 23:00:00,-0.014,-0.024,-0.008,16.617,0.001,0.001,0.001,0.023,0.029,209.6,0.195401,0.013,-0.079,0.000,-0.0002,1.245,-888.880,-0.151736,0.00000,20.83
06-02-2018 23:10:00,-0.017,-0.023,-0.015,16.631,0.001,0.001,0.001,0.020,0.032,203.9,0.045305,0.007,0.067,0.000,-0.0000,-0.565,-888.880,0.051200,0.00000,20.83
06-02-2018 23:20:00,-0.022,-0.013,-0.013,16.532,0.001,0.001,0.001,0.023,0.029,180.0,0.114789,0.010,-0.001,0.000,-0.0001,0.017,-888.880,-4.866389,0.00000,20.83
06-02-2018 23:30:00,-0.017,-0.018,0.001,16.723,0.001,0.002,0.001,0.030,0.025,196.2,0.400946,0.016,-0.106,0.000,-0.0002,2.025,-888.880,-0.165114,0.00000,20.83
06-02-2018 23:40:00,-0.029,-0.023,-0.011,16.694,0.001,0.001,0.001,0.024,0.039,188.2,0.145930,0.015,0.001,0.000,-0.0002,-0.012,-888.880,23.495073,0.00000,20.84
